用户名,评论
静丢丢1573,一直都是漫威迷
豪叔报道,一定要去看
林羽,总体还行，但是托尼死了是真的很难过
立早天亮,打情怀牌 特效部分少了一些 不过瘾 没达到预期
LoS305144990,还是挺好看的。
Sandy阿杜,一点小遗憾！
眼中星河大海,和同学一起去看的很完美!
@ 微微一笑,非常好看，期待⑤的到来
ma12345808,不好看不好看
YPK779726649,( *´°`*)咱也是个宝宝٩̋(๑˃́ꇴ˂̀๑)高考加油
清风,还行，没上一部好看
兰溪,忘了评分了，回来补上。
Fammmi,超级无敌螺旋棒呆了！
被强煎的肉排,真好看太棒了
爩不灵不灵,emmmmm
望霉趾渴,最爱的小妮妮😭
久萌卟二°,看完只想哈哈哈哈哈
RFA15900350390,好看好看好看
Ruby_lau,还不错，挺好的。
Lucky—柯柯,我认为漫威电影一直都很棒，尤其是复仇者联盟系列，特效真的超级酷
还在坚信着,非常好看(｡･ω･｡)ﾉ♡
凯源ww,虽然槽点很多，但是我爱漫威
猛鬼出笼3333,凑合吧  只能算经典
yz嚥zi,和妹妹一起看的挺不错
loky敏,追了好几年，也算是一个好结局了
初二小太阳,突然觉得灭霸有点悲…
罪恶的小手,还行吧只能这么说
王冯氏王冯氏,和朋友一起去看的，三个小时，看完后根本没觉得有那么久，外加看完后一直在哭的小伙伴
紫狼_Vc,期待很久的电影，没有让人失望
一介草民,不予评价。。
w16639375200,挺好的！！！
NVe874511169,电影挺好看的呀
苗丨先生,啥都没有，超级长的片子，坑钱有没有，谁看出来讲的什么
靖儿...,太好看了，值得一看
墨,整体剧情前部分多为聊天，较为枯燥，后半的话高潮是真的感动，复仇者集结！
忱大胖Hehe,强烈推荐这部影片
孤身一人在风中,好看 好看好看
昼明亮,还可以吧，还行。给个中肯的评价
酸奶味的小公举y,好看，画面刺激
又在拍月亮,期待英雄远征
CaW979082229,挺好看 特效不错
曹二哥。,好看的不得了
嘿蘭州,小孩一直吵 观影体验极差
梦一场,不错，就是上厕所问题有点尴尬
右眼z悲伤,里面特效很强大
w喵栀,好看，非常喜欢
伤尽天下女人心灬,好........
鱼儿的哥斯拉,刷了两遍，既是为了情怀，也是致敬！
bdbdjhd,非常棒，很好看
贲翔,电影不错，电影院环境就一般般啦。
fn超级丑,再见了。  灭霸。 你没有完成自己的梦想
Ndz575303989,还不错呀，带着一点小遗憾的完结
公冶不归,朋友看着看着睡着了
Wby743025591,前面都没看过就这一集看得我腰疼
叫兽,剧情张力感觉没有前两部那么好
来一瓶47年的可乐,挺好看的。。。。。。。。。
宗志铭,还可以还可以
薛贵远66788,非常好看，大片就是大片
灯灬,打斗部分太少
Henry.Yuans,三个小时，很好看了。
王鸡仔,钢铁侠跟美国队长正式下线了😭😭😭
水果豆豆111,主要看个情怀。
噬蛇双鱼,回忆部分太多，前期太过平淡，后期很棒
喵喵王碧池,挺好的吧，看的过瘾
幸子北鼻,挺好看的我老公陪我一起去了电影院看的。
几度寻,挺不错的 可惜钢铁侠死了
塔塔菌,"最好的结局
感谢漫威"
aramls,牛批…………
Winter.我嘚承諾,超级超级超级好看，要推荐
OqS548752808,好看，感动到哭😭
DOq929396887,非常好看，结局有点悲伤
ZBI503136004,很好看，很喜欢
bWg900535378,爱你三千遍 托尼·斯塔克
猪猪侠的尾巴,很好看啊啊啊
花开花落花消逝,Toney爱你三千遍
黑仔牛奶,期待下个纪元
wt6735,终结之战，给力
